County,FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(Ü) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (á) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Gastric/Female
"Tulare County, California(7,8)",6107,***,5.3,3.9,6.9,11,stable,1.1,-3.3,5.8,
"San Juan County, New Mexico(7)",35045,***,5.3,3,8.5,3,*,*,*,*,
"Bernalillo County, New Mexico(7,8)",35001,***,5.3,4.3,6.4,21,stable,0.2,-1.3,1.7,
"Suffolk County, New York(6,10)",36103,***,5.2,4.6,6,50,stable,-2.7,-21.1,20.1,
"Cumberland County, New Jersey(7,8)",34011,***,5.2,3.3,7.9,5,stable,-0.3,-2.2,1.7,
"Washington County, Oregon(6,10)",41067,***,5.2,4.1,6.6,15,stable,-8.1,-30.1,20.9,
"Orange County, California(7,8)",6059,***,5.2,4.7,5.7,92,falling,-1.6,-3,-0.2,
"Onondaga County, New York(6,10)",36067,***,5.2,4.1,6.5,16,stable,4.4,-16.6,30.5,
"Orange County, North Carolina(6,10)",37135,***,5.2,3,8.3,4,stable,-6.9,-41.6,48.3,
"Denver County, Colorado(6,10)",8031,***,5.2,4.1,6.5,16,falling,-3.6,-6.9,-0.2,
"Norfolk City, Virginia(6,10)",51710,***,5.2,3.4,7.5,6,stable,6.8,-38.4,85,
"Saginaw County, Michigan(6,10)",26145,***,5.2 #  ,3.6,7.2,7,stable,2.4,-38.5,70.5,
"San Bernardino County, California(7,8)",6071,***,5.1,4.5,5.8,51,stable,-1,-2.8,0.8,
"Hamilton County, Ohio(6,10)",39061,***,5.1,4.3,6.1,26,stable,-6.5,-29.8,24.5,
"Cabarrus County, North Carolina(6,10)",37025,***,5.1,3.3,7.6,5,stable,16.4,-20.8,70.9,
"Kern County, California(7,8)",6029,***,5.1,4.1,6.3,19,stable,-1.5,-4.4,1.5,
"Fayette County, Georgia(7,8)",13113,***,5.1,2.9,8.5,3,stable,1,-3.7,5.8,
"Dona Ana County, New Mexico(7,8)",35013,***,5.1,3.5,7.2,7,stable,-1.4,-3.8,1,
"Madison County, Alabama(6,10)",1089,***,5.1,3.8,6.7,11,stable,-6.8,-34.6,32.9,
"Ventura County, California(7,8)",6111,***,5.1,4.2,6.1,25,stable,-0.1,-3.1,2.9,
"Houston County, Alabama(6,10)",1069,***,5.1,3,8.2,4,stable,-11.2,-35.8,23,
"Santa Barbara County, California(7,8)",6083,***,5.1,3.8,6.6,12,stable,-0.3,-4.1,3.7,
"Fulton County, Georgia(7,8)",13121,***,5.1,4.2,6.1,25,stable,0,-1.2,1.2,
"Alexandria City, Virginia(6,10)",51510,***,5.1,3.1,7.9,4,stable,-16,-48.1,35.9,
"Santa Cruz County, California(7,8)",6087,***,5.1,3.5,7.1,7,stable,0.9,-4,6,
"East Baton Rouge Parish, Louisiana(7,8)",22033,***,5,3.9,6.5,13,stable,-1.6,-5.2,2.1,
"Franklin County, Ohio(6,10)",39049,***,5,4.3,5.9,31,stable,9.3,-17.1,44.1,
"Genesee County, Michigan(6,10)",26049,***,5 #  ,3.9,6.4,14,stable,-4.1,-32.3,35.9,
"Johnson County, Indiana(6,10)",18081,***,5,3.1,7.8,4,stable,17.5,-18.3,68.9,
"San Joaquin County, California(7,8)",6077,***,5,4,6.2,18,stable,-0.4,-3.7,3,
"Lee County, Alabama(6,10)",1081,***,5,2.9,8,4,stable,0.6,-16.6,21.4,
"Ocean County, New Jersey(7,8)",34029,***,5,4.1,6.1,24,falling,-1.6,-2.9,-0.3,
"Cambria County, Pennsylvania(6,10)",42021,***,5,3.3,7.5,6,stable,10.5,-26.9,66.9,
"Orangeburg County, South Carolina(6,10)",45075,***,5,2.8,8.4,3,*,*,*,*,
"Albany County, New York(6,10)",36001,***,5,3.7,6.7,10,stable,-10.1,-28,12.2,
"Harrison County, Mississippi(6,10)",28047,***,5,3.3,7.3,5,stable,9.5,-23.3,56.3,
"Kaufman County, Texas(6,10)",48257,***,5,2.8,8.2,3,*,*,*,*,
"Brown County, Wisconsin(6,10)",55009,***,5,3.5,6.9,8,stable,4.6,-13.8,26.9,
"Lubbock County, Texas(6,10)",48303,***,5,3.5,6.9,7,stable,1.4,-26.5,40,
"Burlington County, New Jersey(7,8)",34005,***,5,3.9,6.3,15,stable,0.1,-1.4,1.6,
"New Castle County, Delaware(6,10)",10003,***,5,4,6.2,17,stable,-4.2,-17.7,11.6,
"McLennan County, Texas(6,10)",48309,***,5,3.4,7.1,6,stable,-3,-41.5,61,
"Montgomery County, Alabama(6,10)",1101,***,5,3.4,7,7,stable,30.7,-23.3,123,
"Rock Island County, Illinois(6,10)",17161,***,5,3.1,7.6,5,stable,1.3,-12.5,17.2,
"Durham County, North Carolina(6,10)",37063,***,5,3.4,6.9,7,stable,-0.7,-28,36.8,
"Sebastian County, Arkansas(6,10)",5131,***,5,2.9,7.9,4,stable,-0.7,-42.5,71.6,
"Baltimore County, Maryland(6,10)",24005,***,5,4.1,5.9,28,stable,5.5,-7.3,20.1,
"Pueblo County, Colorado(6,10)",8101,***,4.9,3.3,7.3,6,falling,-29.1,-42,-13.3,
"Duval County, Florida(6,10)",12031,***,4.9,4.1,5.9,25,stable,-13,-25.1,1.1,
"Davidson County, Tennessee(6,10)",47037,***,4.9,3.9,6.1,17,stable,4.6,-15.7,29.7,
"Yakima County, Washington(6,10)",53077,***,4.9,3.3,7,6,stable,-17.3,-42.5,19.1,
"Polk County, Florida(6,10)",12105,***,4.9,4,6,21,stable,0.3,-21.9,28.8,
"Kane County, Illinois(6,10)",17089,***,4.9,3.8,6.2,14,stable,5.4,-19.2,37.6,
"Missoula County, Montana(6,10)",30063,***,4.9,2.7,8.1,3,*,*,*,*,
"Frederick County, Maryland(6,10)",24021,***,4.9,3.3,6.9,7,stable,18.4,-25.3,87.8,
"Racine County, Wisconsin(6,10)",55101,***,4.9,3.3,7,6,stable,22.5,-41.2,155.2,
"Contra Costa County, California(7,8)",6013,***,4.9,4.1,5.7,33,stable,-0.2,-1.4,1.1,
"Sacramento County, California(7,8)",6067,***,4.9,4.2,5.6,41,stable,0.2,-2.5,3,
"Broward County, Florida(6,10)",12011,***,4.9,4.3,5.5,59,stable,-7.4,-20,7.3,
"New Haven County, Connecticut(7,8)",9009,***,4.9,4,5.8,27,falling,-1.8,-2.5,-1.1,
"Gwinnett County, Georgia(7,8)",13135,***,4.8,3.9,6,18,stable,0.6,-1.3,2.6,
"Yolo County, California(7)",6113,***,4.8,3.1,7.2,5,*,*,*,*,
