,data_provider_id,taxonomy_id,taxonomy_entry_code,data_provider_name,taxonomy_name,taxonomy_entry_category,taxonomy_entry_name,seg1,seg1_total,seg1_uu,seg1_pct,seg2,seg2_total,seg2_uu,seg2_pct,index
118575,11878,24667,14734665,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Tinder,Social Media Users Tinder,pragmatic_buyers,16928,1553,0.09,big_life_events,18199,1743,0.1,96
118781,11878,24667,14734672,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users,Social Media Users ALL,pragmatic_buyers,16928,12587,0.74,big_life_events,18199,14217,0.78,95
118823,11878,24667,14734671,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->YouTube,Social Media Users You Tube,pragmatic_buyers,16928,8069,0.48,big_life_events,18199,9118,0.5,95
118970,11878,24667,14734667,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Twitter,Social Media Users Twitter,pragmatic_buyers,16928,10935,0.65,big_life_events,18199,12361,0.68,95
119016,11878,24667,14734659,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Facebook,Social Media Users Facebook,pragmatic_buyers,16928,11952,0.71,big_life_events,18199,13494,0.74,95
119368,11878,24667,14734661,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Instagram,Social Media Users Instagram,pragmatic_buyers,16928,4227,0.25,big_life_events,18199,4824,0.27,94
120348,11878,24667,14734663,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Snapchat,Social Media Users Snapchat,pragmatic_buyers,16928,1243,0.07,big_life_events,18199,1475,0.08,91
127423,11878,24667,14734669,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Yelp,Social Media Users Yelp,pragmatic_buyers,16928,926,0.05,parent_helpers,14273,440,0.03,177
128183,11878,24667,14734663,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Snapchat,Social Media Users Snapchat,pragmatic_buyers,16928,1243,0.07,parent_helpers,14273,673,0.05,156
128954,11878,24667,14734665,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Tinder,Social Media Users Tinder,pragmatic_buyers,16928,1553,0.09,parent_helpers,14273,909,0.06,144
130294,11878,24667,14734661,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Instagram,Social Media Users Instagram,pragmatic_buyers,16928,4227,0.25,parent_helpers,14273,2791,0.2,128
132085,11878,24667,14734671,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->YouTube,Social Media Users You Tube,pragmatic_buyers,16928,8069,0.48,parent_helpers,14273,5966,0.42,114
132710,11878,24667,14734667,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Twitter,Social Media Users Twitter,pragmatic_buyers,16928,10935,0.65,parent_helpers,14273,8327,0.58,111
133110,11878,24667,14734659,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Facebook,Social Media Users Facebook,pragmatic_buyers,16928,11952,0.71,parent_helpers,14273,9223,0.65,109
133190,11878,24667,14734672,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users,Social Media Users ALL,pragmatic_buyers,16928,12587,0.74,parent_helpers,14273,9812,0.69,108
142576,11878,24667,14734669,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Yelp,Social Media Users Yelp,pragmatic_buyers,16928,926,0.05,random,14074,573,0.04,134
144255,11878,24667,14734665,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Tinder,Social Media Users Tinder,pragmatic_buyers,16928,1553,0.09,random,14074,1072,0.08,120
145330,11878,24667,14734663,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Snapchat,Social Media Users Snapchat,pragmatic_buyers,16928,1243,0.07,random,14074,906,0.06,114
147277,11878,24667,14734661,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Instagram,Social Media Users Instagram,pragmatic_buyers,16928,4227,0.25,random,14074,3240,0.23,108
149567,11878,24667,14734671,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->YouTube,Social Media Users You Tube,pragmatic_buyers,16928,8069,0.48,random,14074,6558,0.47,102
150036,11878,24667,14734667,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Twitter,Social Media Users Twitter,pragmatic_buyers,16928,10935,0.65,random,14074,9117,0.65,100
150325,11878,24667,14734659,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Facebook,Social Media Users Facebook,pragmatic_buyers,16928,11952,0.71,random,14074,10060,0.71,99
150661,11878,24667,14734672,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users,Social Media Users ALL,pragmatic_buyers,16928,12587,0.74,random,14074,10651,0.76,98
157134,11878,24667,14734669,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Yelp,Social Media Users Yelp,pragmatic_buyers,16928,926,0.05,status_conscious,12977,470,0.04,151
158887,11878,24667,14734665,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Tinder,Social Media Users Tinder,pragmatic_buyers,16928,1553,0.09,status_conscious,12977,968,0.07,123
159191,11878,24667,14734663,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Snapchat,Social Media Users Snapchat,pragmatic_buyers,16928,1243,0.07,status_conscious,12977,793,0.06,120
160579,11878,24667,14734661,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Instagram,Social Media Users Instagram,pragmatic_buyers,16928,4227,0.25,status_conscious,12977,2951,0.23,110
